natcode,Incid 1,Incid 2,Incid 3,Incid 4,Incid 5,Incid 6,Incid 7,Incid 8,Incid 9,Incid 10,Incid 11,Incid 12,Incid 13,Incid 14,Incid 15,Incid 16,Incid 17,Incid 18,Incid 19,Incid 20,Incid 21,Incid 22,Incid 23,Incid 24,Incid 25,Incid 26,Incid 27,Incid 28,Incid 29,Incid 30,Incid 31
31921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31976,1.358215947,1.584585272,1.584585272,1.584585272,1.358215947,1.358215947,1.358215947,1.131846623,1.131846623,1.131846623,0.679107974,0.679107974,0.679107974,0.679107974,0.905477298,0.905477298,0.679107974,0.452738649,0.452738649,0.452738649,0.679107974,0.452738649,0.679107974,0.679107974,1.810954596,2.037323921,2.037323921,2.493795797,3.173921924,3.627339342,3.627339342
32090,1.405196055,1.405196055,1.405196055,1.405196055,1.405196055,0.936797369,0.936797369,0.936797369,0.936797369,1.405196055,1.405196055,1.87359474,1.405196055,1.405196055,1.405196055,1.87359474,1.87359474,2.341993425,2.341993425,2.341993425,2.341993425,2.341993425,2.341993425,2.341993425,3.74718948,3.74718948,4.683986849,3.74718948,3.278790795,3.278790795,3.278790795
32045,0,0,0,0,0,0,0,0,0.691004001,0.691004001,0.691004001,1.382008001,1.382008001,1.382008001,1.382008001,1.382008001,1.382008001,1.382008001,2.073012002,2.073012002,2.073012002,2.073012002,2.073012002,2.073012002,2.073012002,2.073012002,1.382008001,0.690478123,0.690478123,0.690478123,0.690478123
32394,2.017802016,2.130423525,2.158578901,2.214889655,2.233659907,2.196119404,2.383821917,2.440132671,2.393207043,2.421362419,2.308740912,2.421362419,2.421362419,2.224274781,2.421362419,2.562139304,2.786978716,2.965270283,3.106026784,3.237399518,3.293702118,3.329721906,3.320342408,3.404757893,3.545450367,3.733040335,3.939389298,3.872011577,4.003266207,4.097019514,4.18139749
32633,0,0,0.197925011,0.197925011,0.197925011,0.197925011,0.197925011,0.197925011,0.395850023,0.395850023,0.395850023,0.395850023,0.593775035,0.593775035,0.593775035,0.593775035,0.594034212,0.594034212,0.792045616,0.792045616,0.792045616,0.792218514,0.792218514,0.792218514,0.792218514,0.990273142,0.792218514,0.79083744,0.59312808,0.59312808,0.59312808
32660,0.304051023,0.304051023,0.304051023,0.304051023,0.304051023,0.608102046,0.608102046,0.304051023,0.304051023,0.304051023,0.304051023,0.608102046,0.608102046,0.608102046,1.520255115,2.128357161,2.430778975,2.430778975,2.734626348,2.734626348,3.03847372,2.734626348,3.03847372,3.646168464,3.646168464,3.646168464,3.950015835,3.956641155,3.956641155,4.260998167,4.56535518
32704,0.537333878,0.537333878,0.537333878,0.806000817,0.806000817,0.806000817,1.074667756,1.074667756,1.074667756,1.343334694,1.343334694,1.612001634,1.612001634,1.612001634,1.880668572,2.418002451,2.68826149,3.494739937,3.225913788,3.494739937,3.494739937,3.224003268,4.030004083,4.030004083,4.298671023,4.298671023,4.030004083,3.49163626,3.223048856,3.223048856,3.223048856
32768,0.995925634,0.995925634,0.995925634,0.995925634,0.995925634,0.995925634,0.497962817,0.497962817,0.497962817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32811,0.42091777,0.210458885,0.42091777,0.42091777,0.42091777,0.42091777,0.42091777,0.42091777,0.42091777,0.210458885,0.210458885,0.210458885,0.210458885,0.210458885,0.210458885,0.210458885,0.210458885,0,0,0,0,0,0,0,0,0,0.210556569,0.210458885,0.210458885,0.210458885,0.210458885
