countyId,PCR 1,PCR 2,PCR 3,PCR 4,PCR 5,PCR 6,PCR 7,PCR 8,PCR 9,PCR 10,PCR 11,PCR 12,PCR 13,PCR 14,PCR 15,PCR 16,PCR 17,PCR 18,PCR 19,PCR 20,PCR 21,PCR 22,PCR 23,PCR 24,PCR 25,PCR 26,PCR 27,PCR 28,PCR 29,PCR 30,PCR 31,Deces 1,Deces 2,Deces 3,Deces 4,Deces 5,Deces 6,Deces 7,Deces 8,Deces 9,Deces 10,Deces 11,Deces 12,Deces 13,Deces 14,Deces 15,Deces 16,Deces 17,Deces 18,Deces 19,Deces 20,Deces 21,Deces 22,Deces 23,Deces 24,Deces 25,Deces 26,Deces 27,Deces 28,Deces 29,Deces 30,Deces 31,ATI 1,ATI 2,ATI 3,ATI 4,ATI 5,ATI 6,ATI 7,ATI 8,ATI 9,ATI 10,ATI 11,ATI 12,ATI 13,ATI 14,ATI 15,ATI 16,ATI 17,ATI 18,ATI 19,ATI 20,ATI 21,ATI 22,ATI 23,ATI 24,ATI 25,ATI 26,ATI 27,ATI 28,ATI 29,ATI 30,ATI 31,Doze 1,Doze 2,Doze 3,Doze 4,Doze 5,Doze 6,Doze 7,Doze 8,Doze 9,Doze 10,Doze 11,Doze 12,Doze 13,Doze 14,Doze 15,Doze 16,Doze 17,Doze 18,Doze 19,Doze 20,Doze 21,Doze 22,Doze 23,Doze 24,Doze 25,Doze 26,Doze 27,Doze 28,Doze 29,Doze 30,Doze 31
18,655,486,423,468,463,218,53,823,1080,648,509,472,259,37,620,709,416,449,660,231,54,611,1264,459,641,513,490,50,679,1048,513,9,5,7,3,4,2,1,8,6,4,5,5,1,1,5,2,3,3,1,4,2,2,2,1,4,3,4,0,4,3,2,20,20,20,20,20,20,20,18,11,15,15,15,16,16,16,16,19,18,18,20,20,18,19,20,17,19,20,18,19,18,19,1181,1311,1305,1572,1552,1518,1426,1369,1429,1554,1726,1664,1478,1355,1578,1821,1676,1426,1226,1067,1092,1252,1477,1343,1422,1266,1165,1204,1285,1341,1491
19,298,185,325,273,154,61,1,267,176,173,121,136,94,0,323,194,308,254,128,140,-,251,211,266,199,223,126,0,328,219,360,0,3,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,9,0,0,0,0,0,8,30,30,30,30,30,30,30,30,43,41,39,44,43,42,43,45,40,43,44,45,45,44,45,46,46,45,43,45,44,44,44,794,699,733,816,917,859,857,885,936,800,803,747,719,784,940,1099,787,1017,989,1094,1121,929,1013,907,948,916,897,940,1127,1047,884
20,169,300,283,301,231,93,65,124,340,398,177,228,141,59,178,332,352,317,245,147,78,264,376,396,375,259,103,74,408,353,303,0,0,1,0,0,0,0,0,1,1,2,0,0,1,2,0,0,1,0,0,0,3,0,0,1,1,0,2,1,0,1,5,5,5,5,5,5,5,5,7,7,6,6,7,7,7,7,8,7,7,9,8,9,8,8,10,10,10,10,9,8,7,554,592,573,683,658,748,688,646,687,684,746,683,628,640,785,967,933,796,816,724,679,750,841,737,769,709,731,742,730,748,662
21,231,306,350,207,270,143,67,280,343,285,253,291,99,92,261,235,322,321,322,180,69,133,372,302,234,374,118,48,223,259,304,5,2,9,2,6,0,5,4,4,2,3,6,0,1,3,0,4,4,3,2,2,8,1,4,6,10,0,4,5,10,5,8,8,5,5,5,5,5,5,5,5,11,8,8,10,10,9,10,9,8,6,4,9,10,11,12,13,13,11,12,10,11,718,778,822,921,1011,978,999,960,1088,1226,1285,1303,1177,1087,1063,1263,1033,936,987,947,883,1064,991,945,970,929,973,908,855,889,872
22,280,507,557,665,637,174,222,614,413,864,820,589,451,5,477,567,764,781,1039,574,88,470,1075,958,803,670,444,26,418,740,1040,2,2,4,8,0,0,5,1,3,2,5,3,1,2,3,2,2,3,0,3,0,4,5,1,2,4,4,2,5,5,2,6,6,6,6,6,6,6,6,8,8,7,8,8,7,7,6,70,8,8,8,7,7,6,8,8,8,8,8,7,7,8,699,754,722,888,951,867,891,868,1008,1114,1018,1057,1013,989,1083,1178,1024,1008,980,946,896,954,1086,1020,1080,1006,947,1060,1021,1019,995
23,140,233,401,224,208,26,42,130,360,299,292,258,233,64,170,211,290,154,216,118,56,211,279,331,378,164,266,97,182,287,258,0,0,2,2,0,2,0,3,0,0,1,0,0,0,4,1,0,3,0,2,2,3,2,2,1,1,0,1,1,2,0,24,24,24,24,24,24,24,24,26,26,22,24,26,26,27,28,24,25,24,24,26,29,27,27,26,25,22,25,26,24,25,565,687,507,667,572,765,538,629,752,756,758,892,815,589,1036,918,955,1051,1059,1361,796,923,1049,977,1221,1098,1533,1066,887,1095,1004
24,610,600,546,549,380,311,142,479,516,453,517,556,267,173,462,556,599,510,547,298,233,573,597,552,601,496,395,205,626,698,671,6,2,4,1,3,0,0,8,6,4,4,3,0,0,5,7,0,5,6,0,0,8,8,3,0,14,0,0,8,4,3,38,38,38,38,38,38,38,39,39,40,39,42,42,41,41,40,43,41,41,41,41,40,40,40,42,41,40,42,41,42,38,552,608,558,538,634,740,626,693,878,708,778,774,648,650,832,1002,851,724,730,698,638,742,792,771,792,696,726,675,751,970,752
25,113,119,137,178,103,124,82,90,160,134,121,138,97,96,120,141,194,175,197,118,85,80,254,127,141,87,239,108,106,133,182,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,28,28,28,28,28,28,28,28,34,34,33,33,29,31,31,34,32,33,34,37,35,32,30,30,32,34,33,33,33,32,33,1505,1442,1507,2084,2093,2155,1698,2034,1902,2415,2236,2271,2087,1893,2266,2565,1832,1717,1862,1754,1668,1937,2019,1953,1986,1865,1859,1558,1987,1978,1909
26,267,491,417,416,242,280,92,234,408,466,295,189,252,82,277,556,555,530,264,309,67,237,352,228,532,150,263,38,265,444,294,4,5,1,1,3,0,3,2,1,3,5,1,0,5,6,2,1,4,1,1,0,4,2,4,4,5,1,6,2,0,1,14,14,14,14,14,14,14,14,16,16,17,14,19,17,18,22,20,24,26,26,26,25,23,20,17,16,16,15,19,22,24,644,879,976,1011,1055,1141,927,990,1481,1383,1227,1189,1179,828,1249,1496,1603,1406,1534,1353,1006,1261,1479,1463,1521,1296,1257,1031,1324,1597,1571
27,232,234,216,272,168,94,71,274,247,271,298,189,116,43,170,244,288,308,233,65,53,215,267,333,330,223,70,56,211,219,325,1,0,0,3,1,0,0,1,0,1,0,0,2,0,1,1,5,1,6,0,0,2,4,1,1,0,3,4,3,1,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1236,1347,1133,1412,1596,1432,1141,1516,1934,1637,1532,1589,1392,1172,1432,1443,1344,1281,1366,1166,983,1736,1643,1369,1309,1449,1313,1073,1393,1558,1224
